Constituency ID,State ID,State,Parliament Constituency,Constituency Name (short),Const No,Constituency Name (long),Status,Winning Candidate,Winning Party,Winning Party ID,Winner Votes,Winner Vote Share,RunnerUp Candidate,RunnerUp Party,RunnerUp Votes,Margin,Total Votes Polled,Num Candidates,Country
S221,S22,Tamil Nadu,TIRUVALLUR(1),TIRUVALLUR,1,TIRUVALLUR,Result Declared,Sasikanth Senthil,Indian National Congress - INC,742,796956,0.562102733,"Balaganapathy, V. Pon",Bharatiya Janata Party,224801,572155,1417812,15,India
S2913,S29,Telangana,NALGONDA(13),Nalgonda,13,NALGONDA,Result Declared,KUNDURU RAGHUVEER,Indian National Congress - INC,742,784337,0.605047041,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,224432,559905,1296324,23,India
S2413,S24,Uttar Pradesh,GAUTAMBUDDHANAGAR(13),Gautam Buddha Nagar,13,GAUTAMBUDDHANAGAR,Result Declared,DR. MAHESH SHARMA,Bharatiya Janata Party - BJP,369,857829,0.596856901,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,298357,559472,1437244,16,India
S128,S12,Madhya Pradesh,KHAJURAHO(8),KHAJURAHO,8,KHAJURAHO,Result Declared,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party - BJP,369,772774,0.677533163,KAMLESH KUMAR,Bahujan Samaj Party,231545,541229,1140570,15,India
S124,S12,Madhya Pradesh,GUNA(4),GUNA,4,GUNA,Result Declared,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party - BJP,369,923302,0.672095539,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,382373,540929,1373766,16,India
S0618,S06,Gujarat,PANCHMAHAL(18),Panchmahal,18,PANCHMAHAL,Result Declared,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party - BJP,369,794579,0.702236948,GULABSINH SOMSINH CHAUHAN,Indian National Congress,285237,509342,1131497,9,India
S014,S01,Andhra Pradesh,VISAKHAPATNAM(4),Visakhapatnam,4,VISAKHAPATNAM,Result Declared,SRIBHARAT MATHUKUMILI,Telugu Desam - TDP,1745,907467,0.654207083,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,403220,504247,1387125,34,India
S1219,S12,Madhya Pradesh,BHOPAL(19),BHOPAL,19,BHOPAL,Result Declared,ALOK SHARMA,Bharatiya Janata Party - BJP,369,981109,0.654821346,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,479610,501499,1498285,23,India
S1223,S12,Madhya Pradesh,MANDSOUR(23),MANDSOUR,23,MANDSOUR,Result Declared,SUDHEER GUPTA,Bharatiya Janata Party - BJP,369,945761,0.659760222,DILIP SINGH GURJAR,Indian National Congress,445106,500655,1433492,9,India
S225,S22,Tamil Nadu,SRIPERUMBUDUR(5),SRIPERUMBUDUR,5,SRIPERUMBUDUR,Result Declared,T R BAALU,Dravida Munnetra Kazhagam - DMK,582,758611,0.526471354,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,271582,487029,1440935,32,India
